Item Code,CPC Code,Item
212,'23170.03,Flour; pulses
213,'39120.14,Bran; pulses
216,'01377,Brazil nuts; with shell
217,'01372,Cashew nuts; with shell
22,'F0022,Pastry
220,'01373,Chestnut
221,'01371,Almonds; with shell
222,'01376,Walnuts; with shell
223,'01375,Pistachios
224,'01379.02,Kola nuts
225,'01374,Hazelnuts; with shell
226,'01379.01,Areca nuts
229,'21429.01,Brazil nuts; shelled
23,'23220.01,Starch; wheat
230,'21424,Cashew nuts; shelled
231,'21422,Almonds shelled
232,'21429.02,Walnuts; shelled
233,'21423,Hazelnuts; shelled
234,'01379.90,Nuts nes
235,'F0235,Nuts; prepared (exc. groundnuts)
236,'0141,Soybeans
237,'2161,Oil; soybean
239,'23995.01,Soya sauce
24,'23220.02,Gluten; wheat
240,'23995.02,Soya paste
241,'23999.03,Soya curd
242,'0142,Groundnuts; with shell
243,'21421,Groundnuts; shelled
244,'2162,Oil; groundnut
246,'21495.01,Groundnuts; prepared
247,'21495.02,Peanut butter
249,'01460,Coconuts
250,'21429.07,Coconuts; desiccated
251,'01492,Copra
252,'2166,Oil; coconut (copra)
254,'01491.01,Oil palm fruit
256,'01491.02,Palm kernels
257,'2165,Oil; palm
258,'21691.14,Oil; palm kernel
26,'24230.01,Beverages; fermented wheat
260,'01450,Olives
261,'2167,Oil; olive; virgin
262,'F0262,Olives preserved
263,'01499.01,Karite nuts (sheanuts)
264,'21691.03,Butter of karite nuts
265,'01447,Castor oil seed
266,'21691.04,Oil; castor beans
267,'01445,Sunflower seed
268,'21631.01,Oil; sunflower
27,'0113,Rice; paddy
270,'01443,Rapeseed
271,'21641.01,Oil; rapeseed
274,'21673,Oil; olive residues
275,'01499.02,Tung nuts
276,'21691.05,Oil; tung nuts
277,'01499.03,Jojoba seed
278,'21691.06,Oil; jojoba
28,'23162,Rice; husked
280,'01446,Safflower seed
281,'21631.02,Oil; safflower
289,'01444,Sesame seed
29,'23161.01,Rice; milled/husked
290,'21691.07,Oil; sesame
292,'01442,Mustard seed
293,'21641.02,Oil; mustard
295,'23995.03,Flour; mustard
296,'01448,Poppy seed
297,'21691.08,Oil; poppy
299,'01449.01,Melonseed
305,'01499.04,Tallowtree seed
306,'21691.09,Vegetable tallow
31,'23161.02,Rice; milled
310,'01499.05,Kapok fruit
311,'01499.06,Kapokseed in shell
312,'01499.07,Kapokseed shelled
313,'21691.11,Oil; kapok
32,'23161.03,Rice; broken
329,'0143,Cottonseed
33,'39130.01,Gluten; rice
331,'2168,Oil; cottonseed
333,'01441,Linseed
334,'21691.12,Oil; linseed
336,'01449.02,Hempseed
337,'21691.13,Oil; hempseed
339,'01449.90,Oilseeds nes
