"Mars Incorporated","USABC",,,,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,,
"McGraw Hill Companies","USSFTC",,,,,,,,,,,,,,,,,,,,,,,,,
"Merck and Co.","USSFTC",,,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Microsoft Corporation","USABC","USSFTC",,,334111,334112,334118,334210,334220,,,,,,,,,,,,,,,,,
"Monsanto","USABC",,,,325311,325320,325312,325314,,,,,,,,,,,,,,,,,,
"Motorola Inc","USABC","USSFTC",,,334210,334290,,,,,,,,,,,,,,,,,,,,
"Netro Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,
"Newmont Mining Corporation","USABC",,,,212221,212222,212234,,,,,,,,,,,,,,,,,,,
"Nike Inc","USABC",,,,316210,315110,315190,315210,315220,315240,315990,,,,,,,,,,,,,,,
"Northrop Grumman","USABC",,,,336411,336412,336413,336414,336415,336419,336992,332993,334511,,,,,,,,,,,,,
"Nu Skin International, Inc.","USABC",,,,325620,,,,,,,,,,,,,,,,,,,,,
"Parker-Hannifin Corporation","USABC",,,,336412,336413,333413,333995,331511,332912,333611,326122,331491,339112,339113,339114,333996,333612,333911,333413,334513,334514,334519,339991,332991,
"Pfizer International Inc","USABC","USSFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Phillip Morris International","USABC",,,,312230,111910,115114,,,,,,,,,,,,,,,,,,,
"Procter and Gamble Company",,,,,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,,
"Quaker Fabric Corporation",,,,,313110,313210,,,,,,,,,,,,,,,,,,,,
"Qualcomm","USABC","USSFTC",,,334210,334220,334290,334413,334418,334419,,,,,,,,,,,,,,,,
"Raytheon","USABC",,,,334511,336414,336415,336419,,,,,,,,,,,,,,,,,,
"Rockwell /Collins",,,,,336411,336412,336413,,,,,,,,,,,,,,,,,,,
"Rockwell Automation","USABC","USSFTC",,,334513,335314,,,,,,,,,,,,,,,,,,,,
"Schering Plough Corporation","USABC","USSFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Sensient Technologies","USABC",,,,334513,335314,334513,,,,,,,,,,,,,,,,,,,
"Solectron Corporation","USABC",,,,336411,336412,336413,,,,,,,,,,,,,,,,,,,
"Sun Microsystems Inc","USABC",,,,334111,334112,334118,,,,,,,,,,,,,,,,,,,
"Textron Inc","USABC",,,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,,
"Timken Company","CT2",,,,331210,333612,333613,,,,,,,,,,,,,,,,,,,
"TRW Overseas Inc","USABC",,,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,,
"United Technologies Incorporated","USABC","USSFTC",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,,
"Unocal Corporation","USABC","USSFTC",,,211111,324110,324191,324199,325110,325180,325199,211112,,,,,,,,,,,,,,
"Whirlpool Corporation","USABC","USSFTC",,,335210,335224,335222,335221,335228,333415,,,,,,,,,,,,,,,,
"Wyeth Pharmaceuticals ","USABC",,,,325411,325412,,,,,,,,,,,,,,,,,,,,
