"Cummins Inc.","FTABC1",,,333618,336310,336390,333413,333912,333995,333996,335312,,,,,,,,,,,,,,,
"D.D. Williamson & Co","CMAC",,,311942,,,,,,,,,,,,,,,,,,,,,,
"Dangle Incorporated","FTABC1",,,316210,,,,,,,,,,,,,,,,,,,,,,
"DemeTech","CT2",,,339112,339113,,,,,,,,,,,,,,,,,,,,,
"Detex Corporation","CMAC",,,332510,321911,321918,332321,332999,335999,334290,,,,,,,,,,,,,,,,
"Diageo North America","FTABC1","USKBC",,312140,,,,,,,,,,,,,,,,,,,,,,
"Dolby Laboratories","USKBC",,,334210,334220,334290,,,,,,,,,,,,,,,,,,,,
"Dow Chemical","FTABC1","CCFT",,325320,113210,311224,311225,325110,325120,325130,325180,325193,325194,325199,325211,325212,325220,332813,326140,324110,325194,326140,326150,327993,333413,
"Dow Corning Company","FTABC1","USKBC",,325520,325510,325130,325180,325199,324191,325211,325212,325613,325220,,,,,,,,,,,,,
"Drummond Company, Inc.","FTABC1",,,212111,212112,212113,,,,,,,,,,,,,,,,,,,,
"Eastman Kodak","FTABC1",,,334118,322320,32212,325992,,,,,,,,,,,,,,,,,,,
"Elanco","FTABC1",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Eli Lilly and Company","FTABC1","USKBC",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Emerson","FTABC1",,,335314,334519,335314,334513,334514,33291,334514,33512,335311,333992,333249,333613,335312,335313,333318,333413,333414,335210,333991,,,,
"Estee Lauder","FTABC1",,,325620,,,,,,,,,,,,,,,,,,,,,,
"Fluor","FTABC1",,,212111,212112,212113,324110,324199,325110,325193,325193,325199,325211,,,,,,,,,,,,,
"Fonterra (USA) Inc.","FTABC1",,,311511,311512,311513,311514,311520,,,,,,,,,,,,,,,,,,
"FormFactor, Inc.","FTABC1","USITC1",,333242,334513,,,,,,,,,,,,,,,,,,,,,
"Gateway","FTABC1",,,334111,334112,334118,,,,,,,,,,,,,,,,,,,,
"General Electric","FTABC1","CCFT","GE",335210,33522,336412,336413,336415,336419,335110,33512,333611,333132,333131,335210,33461,334210,335312,333618,325520,32541,,,,,
"General mills","FTABC1",,,311230,31141,311421,311422,311423,311520,31181,311824,311919,,,,,,,,,,,,,,
"General Motors Corporation ","USKBC",,,336111,336112,336120,336211,336310,336320,336330,336340,336350,336360,336370,336390,,,,,,,,,,,
"Glanbia USA","FTABC2","GLNB",,311513,,,,,,,,,,,,,,,,,,,,,,
"GlaxoSmithKline","FTABC1",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Goodyear Tire and Rubber Company","FTABC1",,,326211,326299,,,,,,,,,,,,,,,,,,,,,
"Gulfstream","FTABC1",,,336411,,,,,,,,,,,,,,,,,,,,,,
"Harrison Poultry","AGF3",,,112330,311615,311612,,,,,,,,,,,,,,,,,,,,
"H.E. Anderson Company","FTABC1",,,333911,333111,333112,,,,,,,,,,,,,,,,,,,,
"Hamakua Nut Company","FTABC2",,,111335,,,,,,,,,,,,,,,,,,,,,,
"Harley Davidson Motor Company","HDMC",,,336991,,,,,,,,,,,,,,,,,,,,,,
"Herbalife International of America, Inc.","FTABC1","CT1","HRB",325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Hewlett Packard","FTABC1",,,334111,334112,334118,325910,,,,,,,,,,,,,,,,,,,
"HJ Heinz Company","CMAC",,,311421,311941,311411,311412,311422,311514,,,,,,,,,,,,,,,,,
"Hormel","AGF1","FTABC1",,311911,311919,311612,,,,,,,,,,,,,,,,,,,,
"House of Raeford Farms","AGF3",,,112330,311615,311612,,,,,,,,,,,,,,,,,,,,
"IBM","FTABC1","USKBC","IBM",334111,334112,334118,333318,334413,,,,,,,,,,,,,,,,,,
"Ingersoll-Rand","FTABC1",,,332216,333991,333923,333922,332510,333414,333415,333413,,,,,,,,,,,,,,,
"Intel Corporation","FTABC1","CT1","CCFT/IC",334412,334413,334416,334417,334418,334112,334419,334210,334220,334290,,,,,,,,,,,,,
"International Chem-Crete Inc.","CMAC",,,325510,325520,,,,,,,,,,,,,,,,,,,,,
"International Titanium Corp.","FTABC1",,,331491,331523,,,,,,,,,,,,,,,,,,,,,
"Intervision Foods","AGF3",,,311611,311612,311613,311615,,,,,,,,,,,,,,,,,,,
"Ironstone Vineyards","CCFT",,,312130,,,,,,,,,,,,,,,,,,,,,,
"JBS USA","AGF1",,,311611,311612,311613,311615,,,,,,,,,,,,,,,,,,,
"JCM Corporation","FTABC1",,,332996,,,,,,,,,,,,,,,,,,,,,,
"John Deere","JD",,,333111,333120,333912,335999,335129,335221,335312,325998,332216,333613,333112,333618,333612,333996,336999,,,,,,,,
"Johnson & Johnson","FTABC1",,,325611,325620,32541,339112,339113,,,,,,,,,,,,,,,,,,
